FWR=0.1P=0.85
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,292.617+-37.678,3119.407+-755.652,13.100+-17.814,1.195+-2.463,96/100,0/100,4/100
laggy,111.262+-121.923,390.978+-796.381,83.200+-30.951,18.255+-8.448,27/100,2/100,71/100
noisy,106.406+-92.458,234.263+-444.037,86.750+-26.662,15.663+-4.865,17/100,6/100,77/100
random,20.633+-28.913,20.633+-28.913,100.000+-0.000,20.307+-2.833,0/100,0/100,100/100
zero,70.102+-60.777,72.246+-68.760,99.260+-2.845,14.062+-0.856,6/100,2/100,92/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.264+-4.853,3320.235+-439.431,9.360+-2.352,0.000+-0.000,100/100,0/100,0/100
laggy,30.936+-72.773,72.001+-357.405,98.240+-11.871,0.000+-0.000,4/100,0/100,96/100
noisy,62.545+-69.595,81.518+-140.098,96.710+-13.095,0.000+-0.000,6/100,1/100,93/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.7P=0.9
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,205.043+-109.562,1986.353+-1233.786,11.770+-4.978,4.861+-4.434,56/100,44/100,0/100
laggy,174.559+-107.538,1697.889+-1292.494,18.700+-25.709,17.550+-31.718,42/100,49/100,9/100
noisy,196.039+-110.609,1820.922+-1324.828,17.980+-22.133,17.155+-20.760,50/100,44/100,6/100
random,190.620+-109.806,1823.814+-1276.539,14.430+-15.825,15.253+-19.124,49/100,48/100,3/100
zero,196.070+-109.244,1830.807+-1301.439,16.410+-18.915,12.631+-18.570,51/100,45/100,4/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.264+-4.853,3320.235+-439.431,9.360+-2.352,0.000+-0.000,100/100,0/100,0/100
laggy,21.562+-57.427,51.590+-271.507,98.390+-11.320,0.000+-0.000,2/100,0/100,98/100
noisy,28.090+-32.948,28.090+-32.948,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.1P=0.7
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,298.375+-37.231,3014.110+-796.773,13.480+-16.414,1.204+-2.054,97/100,0/100,3/100
laggy,178.152+-125.421,978.172+-1232.476,63.530+-40.064,10.497+-7.100,47/100,0/100,53/100
noisy,209.329+-114.405,541.233+-545.066,67.940+-32.265,11.163+-5.526,54/100,2/100,44/100
random,16.959+-34.554,17.450+-35.824,99.630+-3.681,19.758+-2.195,0/100,1/100,99/100
zero,72.190+-65.055,77.209+-84.006,98.760+-5.335,14.150+-1.135,7/100,0/100,93/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.277+-4.904,3322.398+-430.423,9.330+-2.191,0.000+-0.000,100/100,0/100,0/100
laggy,141.324+-118.477,520.404+-930.443,80.400+-32.813,0.000+-0.000,32/100,0/100,68/100
