FWR=0.0P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,847.326+-564.562,316.101+-238.824,377.400+-237.367,0.000+-0.000,75/100,16/100,9/100
noisy,-26.356+-84.737,-26.230+-62.640,216.360+-259.273,0.000+-0.000,0/100,91/100,9/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,847.326+-564.562,316.101+-238.824,377.400+-237.367,0.000+-0.000,75/100,16/100,9/100
noisy,-26.356+-84.737,-26.230+-62.640,216.360+-259.273,0.000+-0.000,0/100,91/100,9/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=1.0P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,375.384+-564.896,107.326+-184.422,549.150+-295.240,645.289+-456.811,33/100,17/100,50/100
laggy,391.694+-565.513,102.978+-174.064,574.240+-317.650,671.532+-476.742,34/100,16/100,50/100
noisy,263.125+-511.694,89.204+-187.580,539.300+-320.091,559.815+-339.078,23/100,21/100,56/100
random,341.388+-552.783,96.768+-179.293,572.540+-311.002,583.588+-314.756,30/100,16/100,54/100
zero,283.914+-528.540,74.190+-165.215,566.780+-325.539,422.518+-256.296,26/100,25/100,49/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
