FWR=0.3P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,498.369+-571.714,385.730+-485.020,248.410+-247.156,104.378+-119.170,48/100,43/100,9/100
laggy,543.244+-576.338,413.552+-482.225,215.630+-196.914,95.618+-96.475,52/100,43/100,5/100
noisy,307.347+-603.678,206.788+-413.011,398.530+-338.488,235.559+-205.979,37/100,44/100,19/100
random,-185.788+-377.805,-79.219+-324.156,370.760+-356.915,241.561+-230.230,7/100,74/100,19/100
zero,-168.870+-412.356,-71.896+-338.880,383.790+-347.872,170.912+-141.767,9/100,75/100,16/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,576.027+-578.716,422.932+-470.520,242.330+-234.794,0.000+-0.000,55/100,37/100,8/100
noisy,16.912+-462.687,34.366+-362.138,224.640+-213.043,0.000+-0.000,15/100,80/100,5/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.3P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,498.369+-571.714,385.730+-485.020,248.410+-247.156,104.378+-119.170,48/100,43/100,9/100
laggy,473.851+-579.164,309.099+-424.862,270.060+-254.738,138.683+-144.372,47/100,45/100,8/100
noisy,136.753+-581.281,138.209+-434.616,357.910+-314.494,217.103+-189.186,26/100,60/100,14/100
random,-177.000+-341.629,-100.415+-271.773,330.000+-334.441,211.707+-217.485,6/100,76/100,18/100
zero,-168.870+-412.356,-71.896+-338.880,383.790+-347.872,170.912+-141.767,9/100,75/100,16/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,395.370+-691.868,352.008+-529.966,228.110+-206.616,0.000+-0.000,49/100,48/100,3/100
noisy,-127.013+-373.318,-95.403+-375.141,120.880+-32.559,0.000+-0.000,8/100,92/100,0/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.0P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,-88.892+-628.776,-51.921+-637.467,143.840+-78.346,0.000+-0.000,22/100,78/100,0/100
